design_id,status,source_file,projection,width_mm,height_mm,thickness_mm,area_mm2,svg_file,error
2431,exact,parts/2431.dat,XZ,32.2,8.2,3.2,256.0,svg/2431.svg,
2445,exact,parts/2445.dat,XZ,96.2,16.2,4.8,1536.0,svg/2445.svg,
2515,prefix,parts/2515a.dat,XY,56.198,56.198,32.0,2461.128,svg/2515.svg,
2730,exact,parts/2730.dat,XY,80.2,11.4,8.0,844.8,svg/2730.svg,
2743,exact,parts/2743.dat,XY,32.2,16.2,8.0,353.28,svg/2743.svg,
2780,exact,parts/2780.dat,XZ,16.2,6.6,6.241,78.726,svg/2780.svg,
2817,exact,parts/2817.dat,XZ,16.2,16.2,9.6,256.0,svg/2817.svg,
3001,exact,parts/3001.dat,XZ,32.2,16.2,11.2,512.0,svg/3001.svg,
3003,exact,parts/3003.dat,XZ,16.2,16.2,11.2,256.0,svg/3003.svg,
3004,exact,parts/3004.dat,XY,16.2,11.4,8.0,168.96,svg/3004.svg,
3005,exact,parts/3005.dat,XY,8.2,11.4,8.0,84.48,svg/3005.svg,
3009,exact,parts/3009.dat,XY,48.2,11.4,8.0,506.88,svg/3009.svg,
3010,exact,parts/3010.dat,XY,32.2,11.4,8.0,337.92,svg/3010.svg,
3020,exact,parts/3020.dat,XZ,32.2,16.2,4.8,512.0,svg/3020.svg,
3021,exact,parts/3021.dat,XZ,24.2,16.2,4.8,384.0,svg/3021.svg,
3022,exact,parts/3022.dat,XZ,16.2,16.2,4.8,256.0,svg/3022.svg,
3023,exact,parts/3023.dat,XZ,16.2,8.2,4.8,128.0,svg/3023.svg,
3024,exact,parts/3024.dat,XZ,8.2,8.2,4.8,64.0,svg/3024.svg,
3031,exact,parts/3031.dat,XZ,32.2,32.2,4.8,1024.0,svg/3031.svg,
3033,exact,parts/3033.dat,XZ,80.2,48.2,4.8,3840.0,svg/3033.svg,
3034,exact,parts/3034.dat,XZ,64.2,16.2,4.8,1024.0,svg/3034.svg,
3068,exact,parts/3068.dat,XZ,16.2,16.2,3.2,256.0,svg/3068.svg,
3069,exact,parts/3069.dat,XZ,16.2,8.2,3.2,128.0,svg/3069.svg,
3176,exact,parts/3176.dat,XZ,16.2,24.2,4.8,356.243,svg/3176.svg,
3460,exact,parts/3460.dat,XZ,64.2,8.2,4.8,512.0,svg/3460.svg,
3622,exact,parts/3622.dat,XY,24.2,11.4,8.0,253.44,svg/3622.svg,
3660,exact,parts/3660.dat,XZ,16.2,16.2,11.2,256.0,svg/3660.svg,
3665,exact,parts/3665.dat,YZ,11.4,16.2,8.0,136.96,svg/3665.svg,
3666,exact,parts/3666.dat,XZ,48.2,8.2,4.8,384.0,svg/3666.svg,
3673,exact,parts/3673.dat,XZ,16.2,6.6,6.4,78.726,svg/3673.svg,
3700,exact,parts/3700.dat,XY,16.2,11.4,8.0,168.96,svg/3700.svg,
3702,exact,parts/3702.dat,XY,64.2,11.4,8.0,675.84,svg/3702.svg,
3703,exact,parts/3703.dat,XY,128.2,11.4,8.0,1351.68,svg/3703.svg,
3705,exact,parts/3705.dat,XZ,32.2,5.0,4.8,153.6,svg/3705.svg,
3708,exact,parts/3708.dat,XZ,96.2,5.0,4.8,460.8,svg/3708.svg,
3709,exact,parts/3709.dat,XZ,32.2,16.2,4.8,512.0,svg/3709.svg,
3710,exact,parts/3710.dat,XZ,32.2,8.2,4.8,256.0,svg/3710.svg,
3737,exact,parts/3737.dat,XZ,80.2,5.0,4.8,384.0,svg/3737.svg,
3738,exact,parts/3738.dat,XZ,64.2,16.2,4.8,1024.0,svg/3738.svg,
3743,exact,parts/3743.dat,XZ,32.2,8.2,5.6,256.0,svg/3743.svg,
3768,design_alias,parts/15456.dat,XZ,16.2,27.402,6.4,303.191,svg/3768.svg,
3795,exact,parts/3795.dat,XZ,48.2,16.2,4.8,768.0,svg/3795.svg,
3960,exact,parts/3960.dat,XZ,32.2,32.2,8.0,801.948,svg/3960.svg,
4032,exact,parts/4032.dat,XZ,16.204,16.204,4.8,195.935,svg/4032.svg,
4070,exact,parts/4070.dat,XY,8.2,11.4,8.0,84.48,svg/4070.svg,
4162,exact,parts/4162.dat,XZ,64.2,8.2,3.2,512.0,svg/4162.svg,
4274,exact,parts/4274.dat,XZ,9.8,6.6,6.4,47.043,svg/4274.svg,
4296,design_alias,parts/3743.dat,XZ,32.2,8.2,5.6,256.0,svg/4296.svg,
4477,exact,parts/4477.dat,XZ,80.2,8.2,4.8,640.0,svg/4477.svg,
4519,exact,parts/4519.dat,XZ,24.2,5.0,4.8,115.2,svg/4519.svg,
4740,exact,parts/4740.dat,XZ,16.204,16.204,4.8,195.938,svg/4740.svg,
6143,exact,parts/6143.dat,XZ,16.204,16.204,11.2,195.94,svg/6143.svg,
6190,exact,parts/6190.dat,XY,22.6,6.649,6.4,98.075,svg/6190.svg,
6233,exact,parts/6233.dat,XZ,24.204,24.204,20.8,440.86,svg/6233.svg,
6541,exact,parts/6541.dat,XY,8.2,11.4,8.0,84.48,svg/6541.svg,
6553,exact,parts/6553.dat,XY,8.2,23.8,7.2,146.24,svg/6553.svg,
6558,exact,parts/6558.dat,XZ,24.2,6.6,6.241,117.285,svg/6558.svg,
6562,exact,parts/6562.dat,XZ,16.2,6.6,6.4,77.763,svg/6562.svg,
6589,exact,parts/6589.dat,XY,13.0,13.0,4.0,128.312,svg/6589.svg,
10187,exact,parts/10187.dat,XZ,7.801,13.953,7.095,56.869,svg/10187.svg,
10928,exact,parts/10928.dat,YZ,10.144,8.2,9.944,68.158,svg/10928.svg,
11100,exact,parts/11100.dat,YZ,27.569,24.978,3.2,287.579,svg/11100.svg,
11203,exact,parts/11203.dat,XZ,16.2,16.2,4.8,256.0,svg/11203.svg,
11214,exact,parts/11214.dat,XY,24.2,6.6,6.4,116.075,svg/11214.svg,
11477,exact,parts/11477.dat,XZ,8.2,16.2,6.4,128.0,svg/11477.svg,
14417,exact,parts/14417.dat,XZ,16.2,15.402,6.4,162.485,svg/14417.svg,
14418,exact,parts/14418.dat,XZ,22.2,8.2,6.3,162.045,svg/14418.svg,
14918,exact,parts/14918.dat,XY,16.2,21.0,16.0,238.541,svg/14918.svg,
15068,exact,parts/15068.dat,XZ,16.2,16.2,6.4,256.0,svg/15068.svg,
15462,exact,parts/15462.dat,XZ,40.2,6.6,6.4,193.28,svg/15462.svg,
