SetNumber,ElementID,Qty,Colour,Category,DesignID,ElementName,ImageURL,ElementSetCount,GeometryStatus,Projection,WidthMM,HeightMM,ThicknessMM,StorageMode,RecommendedDepthMM,FloorWidthMM,FloorHeightMM,FloorAreaMM2
17101-1,300126,3,Black,Bricks,3001,BRICK 2X4,/cdn/product-assets/element.img.lod5photo.192x192/300126.jpg,865,exact,XZ,32.2,16.2,11.2,shadow_stack,35.6,36.2,20.2,731.24
17101-1,301026,2,Black,Bricks,3010,BRICK 1X4,/cdn/product-assets/element.img.lod5photo.192x192/301026.jpg,859,exact,XY,32.2,11.4,8.0,shadow_stack,18.0,36.2,16.0,579.2
17101-1,302026,2,Black,Plates,3020,PLATE 2X4,/cdn/product-assets/element.img.lod5photo.192x192/302026.jpg,1835,exact,XZ,32.2,16.2,4.8,shadow_stack,11.6,36.2,20.2,731.24
17101-1,303326,2,Black,Plates,3033,PLATE 6X10,/cdn/product-assets/element.img.lod5photo.192x192/303326.jpg,156,exact,XZ,80.2,48.2,4.8,shadow_stack,11.6,84.2,52.2,4395.24
17101-1,366526,4,Black,Bricks,3665,ROOF TILE 1X2 INV.,/cdn/cs/set/assets/blt481b96c97929952d/366526.jpg,412,exact,YZ,11.4,16.2,8.0,shadow_stack,34.0,16.0,20.2,323.2
17101-1,447726,1,Black,Plates,4477,PLATE 1X10,/cdn/cs/set/assets/bltde5fa31aa079c649/447726.jpg,533,exact,XZ,80.2,8.2,4.8,shadow_stack,6.8,84.2,16.0,1347.2
17101-1,3200126,1,Black,Plates,32001,1PLATE 2X6 W. HOLES,/cdn/product-assets/element.img.lod5photo.192x192/3200126.jpg,206,exact,XZ,48.2,16.2,4.8,shadow_stack,6.8,52.2,20.2,1054.44
17101-1,4144024,2,Black,Plates,32530,T-BEAM W. PLATE 1X2 W. TUBE,/cdn/product-assets/element.img.lod5photo.192x192/4144024.jpg,210,exact,XY,16.2,15.802,8.0,shadow_stack,18.0,20.2,19.8,400.0
17101-1,4160393,6,Black,Bricks,42022,BRICK 1X6 W/BOW,/cdn/product-assets/element.img.lod5photo.192x192/4160393.jpg,94,exact,XZ,8.2,48.2,11.2,edge_magazine,42.0,16.0,52.2,835.2
17101-1,4180087,2,Black,Plates,43898,"PARABOLIC REFLECTOR Ã˜24X6,4",/cdn/cs/set/assets/blt7b725217cf5b0345/4180087.jpg,130,exact,XZ,24.2,24.2,8.0,shadow_stack,18.0,28.2,28.2,795.26
